Note code,Note coe,Hz,cycles,cycles/255,real freq.,abs. Error (Hz),rel. error (%)
1,1.0594631,8.6611102891,1847338,7244,8.6616645554,0.0005542662,0.006399073
2,1.0594631,9.1761267564,1743655,6838,9.1759429715,-0.0001837849,-0.002002899
3,1.0594631,9.7217676993,1645791,6454,9.7218930956,0.0001253963,0.0012898344
4,1.0594631,10.2998541442,1553420,6092,10.2995893039,-0.0002648403,-0.0025713677
5,1.0594631,10.9123154012,1466233,5750,10.9121909633,-0.0001244378,-0.0011403559
6,1.0594631,11.5611955031,1383940,5427,11.5616543282,0.0004588251,0.0039685076
7,1.0594631,12.2486600274,1306265,5123,12.2477255591,-0.0009344683,-0.0076297293
8,1.0594631,12.9770033235,1232950,4835,12.9772695014,0.0002661779,0.0020511088
9,1.0594631,13.7486561698,1163750,4564,13.7478304205,-0.0008257493,-0.0060063971
10,1.0594631,14.5661938865,1098434,4308,14.5647859887,-0.0014078978,-0.0096664504
11,1.0594631,15.4323449302,1036783,4066,15.4316522477,-0.0006926825,-0.0044887123
12,1.0594631,16.35,978593,3838,16.3483840644,-0.0016159356,-0.009884375
13,1.0594631,17.322221685,923669,3622,17.3233291108,0.0011074258,0.0063926845
14,1.0594631,18.3522546853,871827,3419,18.351885943,-0.0003687422,-0.002009288
15,1.0594631,19.4435366409,822896,3227,19.4437861913,0.0002495504,0.0012834456
16,1.0594631,20.5997096045,776710,3046,20.5991786078,-0.0005309967,-0.0025777568
17,1.0594631,21.8246321967,733117,2875,21.8243819267,-0.00025027,-0.0011467449
18,1.0594631,23.1223924834,691970,2714,23.1190486511,-0.0033438323,-0.0144635376
19,1.0594631,24.4973216199,653133,2561,24.5002335179,0.0029118979,0.0118851844
20,1.0594631,25.9540083051,616475,2418,25.9491720592,-0.0048362459,-0.0186373804
21,1.0594631,27.4973140964,581875,2282,27.495660841,-0.0016532554,-0.0060127864
22,1.0594631,29.1323896342,549217,2154,29.1295719774,-0.0028176569,-0.00967284
23,1.0594631,30.8646918323,518392,2033,30.8633044954,-0.0013873369,-0.0044951015
24,1.0594631,32.7000020892,489297,1919,32.6967681288,-0.0032339604,-0.0098907646
25,1.0594631,34.6444455834,461834,1811,34.6466582215,0.0022126381,0.006386296
26,1.0594631,36.7045117156,435914,1709,36.7145102629,0.0099985473,0.0272332307
27,1.0594631,38.8870757662,411448,1614,38.875525427,-0.0115503392,-0.0297110818
28,1.0594631,41.1994218412,388355,1523,41.1983572155,-0.0010646257,-0.0025841459
29,1.0594631,43.6492671821,366558,1437,43.6639513147,0.0146841326,0.0336298759
30,1.0594631,46.2447879214,345985,1357,46.2380973023,-0.0066906191,-0.0144699274
31,1.0594631,48.9946463701,326566,1281,48.9813411703,-0.0133051997,-0.0271638126
32,1.0594631,51.9080199266,308238,1209,51.8983441185,-0.0096758082,-0.0186437705
33,1.0594631,54.9946317063,290937,1141,54.991321682,-0.0033100243,-0.0060191758
34,1.0594631,58.264782991,274608,1077,58.2591439547,-0.0056390363,-0.0096792295
35,1.0594631,61.7293876084,259196,1016,61.7569862591,0.0275986506,0.044689115
36,1.0594631,65.4000083567,244648,959,65.4276309064,0.0276225496,0.0422184775
37,1.0594631,69.2888955937,230917,906,69.2550750985,-0.0338204952,-0.0488346813
